0,1,2,3,4,5,6
ENGINE,LOWER,PROPER,DIGITS,CHASSIS,COLOR,PLACE OF DELIVERY
RSPDL150GH00001,rspdl150gh00001,Rspdl150Gh00001,00001,RSPDL150GH00001,BLUE,MAYPAJO C/O: TONDO
RSPDL150GH00002,rspdl150gh00002,Rspdl150Gh00002,00002,RSPDL150GH00002,BLUE,SAN CRISTOBAL. LAGUNA
RSPDL150GH00003,rspdl150gh00003,Rspdl150Gh00003,00003,RSPDL150GH00003,BLUE,MAYPAJO C/O: TONDO
RSPDL150GH00004,rspdl150gh00004,Rspdl150Gh00004,00004,RSPDL150GH00004,BLUE,CAINTA
RSPDL150GH00005,rspdl150gh00005,Rspdl150Gh00005,00005,RSPDL150GH00005,BLUE,IBA C/O: OLONGAPO
RSPDL150GH00006,rspdl150gh00006,Rspdl150Gh00006,00006,RSPDL150GH00006,BLUE,DASMARIÑAS
RSPDL150GH00007,rspdl150gh00007,Rspdl150Gh00007,00007,RSPDL150GH00007,BLUE,DASMARIÑAS
RSPDL150GH00008,rspdl150gh00008,Rspdl150Gh00008,00008,RSPDL150GH00008,BLUE,LA UNION
RSPDL150GH00009,rspdl150gh00009,Rspdl150Gh00009,00009,RSPDL150GH00009,BLUE,LA UNION
RSPDL150GH00010,rspdl150gh00010,Rspdl150Gh00010,00010,RSPDL150GH00010,BLUE,ANTIPOLO
RSPDL150GH00011,rspdl150gh00011,Rspdl150Gh00011,00011,RSPDL150GH00011,BLUE,TONDO
RSPDL150GH00012,rspdl150gh00012,Rspdl150Gh00012,00012,RSPDL150GH00012,BLUE,TONDO
RSPDL150GH00013,rspdl150gh00013,Rspdl150Gh00013,00013,RSPDL150GH00013,BLUE,IBA C/O: OLONGAPO
RSPDL150GH00014,rspdl150gh00014,Rspdl150Gh00014,00014,RSPDL150GH00014,BLUE,IBA C/O: OLONGAPO
RSPDL150GH00015,rspdl150gh00015,Rspdl150Gh00015,00015,RSPDL150GH00015,BLUE,LA UNION
RSPDL150GH00016,rspdl150gh00016,Rspdl150Gh00016,00016,RSPDL150GH00016,BLUE,GERONA
RSPDL150GH00017,rspdl150gh00017,Rspdl150Gh00017,00017,RSPDL150GH00017,BLUE,ANTIPOLO
RSPDL150GH00018,rspdl150gh00018,Rspdl150Gh00018,00018,RSPDL150GH00018,BLUE,ANTIPOLO
RSPDL150GH00019,rspdl150gh00019,Rspdl150Gh00019,00019,RSPDL150GH00019,BLUE,ANTIPOLO
RSPDL150GH00020,rspdl150gh00020,Rspdl150Gh00020,00020,RSPDL150GH00020,BLUE,ANTIPOLO
RSPDL150GH00021,rspdl150gh00021,Rspdl150Gh00021,00021,RSPDL150GH00021,BLUE,GERONA
RSPDL150GH00022,rspdl150gh00022,Rspdl150Gh00022,00022,RSPDL150GH00022,BLUE,CAINTA
RSPDL150GH00023,rspdl150gh00023,Rspdl150Gh00023,00023,RSPDL150GH00023,BLUE,LA UNION
RSPDL150GH00024,rspdl150gh00024,Rspdl150Gh00024,00024,RSPDL150GH00024,BLUE,CAINTA
RSPDL150GH00025,rspdl150gh00025,Rspdl150Gh00025,00025,RSPDL150GH00025,BLUE,LA UNION
RSPDL150GH00026,rspdl150gh00026,Rspdl150Gh00026,00026,RSPDL150GH00026,BLUE,LA UNION
RSPDL150GH00027,rspdl150gh00027,Rspdl150Gh00027,00027,RSPDL150GH00027,BLUE,IBA C/O: OLONGAPO
RSPDL150GH00028,rspdl150gh00028,Rspdl150Gh00028,00028,RSPDL150GH00028,BLUE,LA UNION
RSPDL150GH00029,rspdl150gh00029,Rspdl150Gh00029,00029,RSPDL150GH00029,BLUE,GERONA
RSPDL150GH00030,rspdl150gh00030,Rspdl150Gh00030,00030,RSPDL150GH00030,BLUE,LA UNION
RSPDL150GH00031,rspdl150gh00031,Rspdl150Gh00031,00031,RSPDL150GH00031,BLUE,MAYPAJO C/O: TONDO
RSPDL150GH00032,rspdl150gh00032,Rspdl150Gh00032,00032,RSPDL150GH00032,BLUE,GERONA
RSPDL150GH00033,rspdl150gh00033,Rspdl150Gh00033,00033,RSPDL150GH00033,BLUE,IBA C/O: OLONGAPO
RSPDL150GH00034,rspdl150gh00034,Rspdl150Gh00034,00034,RSPDL150GH00034,BLUE,ANTIPOLO
RSPDL150GH00035,rspdl150gh00035,Rspdl150Gh00035,00035,RSPDL150GH00035,BLUE,CAINTA
RSPDL150GH00036,rspdl150gh00036,Rspdl150Gh00036,00036,RSPDL150GH00036,BLACK,CAINTA
